steps,total_series,A1_ar2_coeffs_easy,A2_ar2_coeffs_hard,B1_ar2_variance,B2_ar2_variance_big,C1_arma21_coeffs_var,D1_arima211,D2_arima221,D3_arima210,F1_seasonal_sarimax,F2_seasonal_exog,E1_drift_only,E2_level_shift,G1_exogenous_only,S1_sparse_switching,S2_frequent_switching,mean_all,mean_ar,mean_arima,mean_seasonal,mean_exog,mean_gap_vs_msar
50,6400,0.9128938881135683,0.9060064623325736,0.9488484993168184,0.9326691727568631,0.7640829017721127,0.867621182519187,0.7321019067501618,0.9569150123454483,1.0095815880715608,0.955012272381774,1.1177492239286988,1.0083916223636744,0.976322953089904,0.9423427585433055,0.8965842621693056,0.9284749137636638,0.9232241738720726,0.8522127005382657,0.9822969302266674,1.0341545997940924,0.34695981520097974
100,12800,1.0627031647749716,1.0202665633000227,1.0246642520085185,0.982486611069343,0.8224290459797644,0.3965092074189264,0.6639672141964664,0.695265126604097,1.3234571341107715,1.5504266682291634,1.136420212419251,0.9897206953281534,1.121431159945628,1.0524585763582377,1.0209326101804035,0.9908758827949146,1.027251962948583,0.5852471827398299,1.4369419011699676,1.0825240225643442,0.41868476005972666
200,25600,0.8860245821384072,0.8456579126658906,0.8689821459752846,0.8412980518891677,0.6779635187050234,0.14784114123527367,0.07995533563570618,0.18675372556808081,1.1078615375090175,1.2508777725336622,1.1353076450678943,0.912368151346913,0.9664231898181566,0.8954934531214142,0.8557188231000578,0.7772351324206633,0.8655291614817037,0.13818340081302025,1.1793696550213397,1.0046996620776547,0.2314990902702261
500,64000,0.960434050969829,0.8885229348579592,0.9422733685057306,0.8925474130413251,0.7095381420271752,0.5615313386789663,0.8022139908937284,0.7885261012959143,1.1173356616237895,1.098375315893471,1.0981111380050188,0.9001387749193627,0.9801202704051079,0.963240559452284,0.9158870306591699,0.9079197394152554,0.927150892914383,0.7174238102895364,1.1078554887586303,0.9927900611098298,0.31992840810314466
1000,128000,0.7926704073468077,0.7915304645810585,0.8705714568804638,0.861596078592925,0.6153419975432631,0.1300343271982315,0.07020313228554109,0.1792554639618189,0.7760043446949817,0.45133768902241655,1.1627513842121953,0.9675053658786208,0.8953897731596262,0.8856768768291893,0.786032783328681,0.6823934363677213,0.8313463445931876,0.1264976411485305,0.6136710168586992,1.0085488410834809,0.1305795733099429
2000,256000,0.7984675297924566,0.7806811389087427,0.8586524556411758,0.8443182866027937,0.5928044057750228,0.07867141683021296,0.03206577627313215,0.11102883946251522,0.7948177736752222,0.4410691091451308,1.1447077586397612,0.9698379962043978,0.872480941167106,0.8679644065164096,0.7722337314061739,0.6639867710693503,0.8203862581446253,0.07392201085528678,0.6179434414101765,0.9956755653370882,0.11358224306257451
5000,640000,0.781158085576859,0.7800748179923792,0.8502591943062295,0.84842912674391,0.5768072525959025,0.10541647323466587,0.032449884220245556,0.11188011111506517,0.7918817088677033,0.31713580524935786,1.1079231103096407,0.9478414529291044,0.8504005193703522,0.847770271329964,0.7647604894536219,0.6476125535530001,0.8120753309004938,0.08324882285665887,0.5545087570585305,0.9687216942030324,0.0960110022988341
10000,1280000,0.7739881647742283,0.7706940256417737,0.8525875084358105,0.8418586911733783,0.571278471210214,0.1153420789948869,0.09228851150799744,0.12229963706521403,0.8074071598185485,0.4441258822063204,1.1034319602774079,0.9338283132668433,0.8464043504702706,0.8407004940413388,0.7544943183986326,0.6580486378188577,0.8057205337441937,0.10997674252269946,0.6257665210124345,0.961221541338174,0.10291833349169928
25000,3200000,0.7695476339555052,0.7826812107937146,0.8504632451967784,0.8314901932522982,0.5738195858031079,0.07998545976179584,0.0550299069937757,0.16216154569830374,0.7719412221721198,0.3956590785674023,1.103455571366048,0.9279759868110377,0.8413809569629461,0.849770593412743,0.7568779725468807,0.6501493442196306,0.8068051415263201,0.09905897081795843,0.5838001503697611,0.957604171713344,0.0971161335292574
50000,6400000,0.7813228193878604,0.7927245401558042,0.8560784502112423,0.8433427538343506,0.5682237665172679,0.08909531905027966,0.036121382097995765,0.10601101567307362,0.7884320504369833,0.3984800343216777,1.0872566559063472,0.9257812624177336,0.8509611245568492,0.8525601498230239,0.766281786757188,0.6495115407431785,0.8153850833615784,0.07707590560711636,0.5934560423793305,0.9546663476269767,0.09778338158275741
100000,12800000,0.779810653498035,0.783863767697348,0.8428663665678487,0.8180049822683927,0.5683998983641374,0.07679089833843906,0.062303711854577844,0.14381940175557714,0.7786083259620288,0.39751604671485885,1.0926351234295235,0.906234518768148,0.8377029385202719,0.8386486732270501,0.7626351340519336,0.6459893627345447,0.804304929551768,0.09430467064953135,0.5880621863384439,0.9455241935726478,0.09213945301946533
