family_preset,steps,A1_ar2_coeffs_easy,A2_ar2_coeffs_hard,B1_ar2_variance,B2_ar2_variance_big,C1_arma21_coeffs_var,D1_arima211,D2_arima221,D3_arima210,F1_seasonal_sarimax,F2_seasonal_exog,E1_drift_only,E2_level_shift,G1_exogenous_only,S1_sparse_switching,S2_frequent_switching,mean_all,mean_ar,mean_arima,mean_seasonal,mean_exog,mean_gap_vs_msar
ar_only,10000,0.8199491821478185,0.8043824185560857,0.8752058426514594,0.8427312526672647,0.5829951396936388,0.08702022076017846,0.0919457560882091,0.15863809499612555,0.8460008425755948,0.4549505449436424,1.1162004571913746,0.9225789423725012,0.8639205280195709,0.8543600395055648,0.7976572024589843,0.6745690976418676,0.8323809896645296,0.11253469061483772,0.6504756937596186,0.9675666425278155,0.1206433086891947
ar_arma,10000,0.7834337267485686,0.8131715227107535,0.8343166801185337,0.8390008456707688,0.5839481790254059,0.0990519944205782,0.17293627715909757,0.18592627689649563,0.8000172873195449,0.32832940405120564,1.1908980734267736,1.0059163736744348,0.8863534651660937,0.8847681922849738,0.7910322443591681,0.6799400362021597,0.8242872019821278,0.15263818282539046,0.5641733456853752,1.027722637422434,0.12061284849873002
ar_arma_arima,10000,0.7894221261803117,0.7848574180810314,0.8749320298692148,0.8342985092743325,0.5922834406725572,0.16039299832711904,0.12670679761740322,0.1580846058274239,0.8232528766571873,0.48575534866026243,1.106313342432122,0.9540243067831625,0.8579289631958446,0.8534130452587559,0.7766476590769474,0.6785542311942453,0.8189284646234323,0.14839480059064872,0.6545041126587249,0.9727555374703765,0.12243016310037104
full,10000,0.7739881647742283,0.7706940256417737,0.8525875084358105,0.8418586911733783,0.571278471210214,0.1153420789948869,0.09228851150799744,0.12229963706521403,0.8074071598185485,0.4441258822063204,1.1034319602774079,0.9338283132668433,0.8464043504702706,0.8407004940413388,0.7544943183986326,0.6580486378188577,0.8057205337441937,0.10997674252269946,0.6257665210124345,0.961221541338174,0.10291833349169928
