order_name,ar_order_lo,ar_order_hi,steps,A1_ar2_coeffs_easy,A2_ar2_coeffs_hard,H3_ar4_coeffs,H4_ar6_coeffs,H1_ar10_coeffs,mean_all,mean_ar,mean_arima,mean_seasonal,mean_exog,mean_gap_vs_msar
lo_order,2,2,10000,0.7824846687645861,0.7886023813408655,0.9609912706576149,0.9342720913752554,1.0117772176376543,0.8609547559143685,0.7855435250527258,,,,0.14402181079190432
mid_order,2,4,10000,0.8210707862372635,0.8205865045997104,0.9733261502114825,0.9532098712176831,1.0298702463330984,0.8905091790566907,0.820828645418487,,,,0.16800899655655668
hi_order,2,6,10000,0.8055624931943536,0.8003519664073568,0.9478862367820323,0.9228897898322695,0.9905955517802113,0.8655033371273072,0.8029572298008552,,,,0.14185349243595383
full,2,10,10000,0.7942062088885743,0.7816092915734557,0.9320514251632681,0.9170370097586895,0.9874816494965901,0.8544323833195401,0.787907750231015,,,,0.13087340181282464
