M,steps,total_series,A1_ar2_coeffs_easy,A2_ar2_coeffs_hard,B1_ar2_variance,B2_ar2_variance_big,C1_arma21_coeffs_var,D1_arima211,D2_arima221,D3_arima210,F1_seasonal_sarimax,F2_seasonal_exog,E1_drift_only,E2_level_shift,G1_exogenous_only,S1_sparse_switching,S2_frequent_switching,mean_all,mean_ar,mean_arima,mean_seasonal,mean_exog,mean_gap_vs_msar
128,1,128,8.83308173191133,8.789451549539377,8.800865372672847,8.953720904631437,9.141511940269211,6.895399854697377,3.562123897751564,3.6876629461167343,8.46249550527598,7.734570187848859,8.684332930687619,8.841209816250421,8.700420185285088,8.802365560293937,8.87091232646832,7.917341647313339,8.841732907586207,4.715062232855225,8.098532846562419,8.741987644074376,7.632886887504105
256,2,256,7.1310890960583935,7.117112006917204,7.150810568169536,7.278266024615512,7.3659058436873375,5.375276477887799,3.1809919241927482,3.1196373359711895,6.8322835928043375,6.192585763081506,6.88827182590948,7.160904942515299,7.029456253401719,7.128683672081874,7.166252201839598,6.407835168608902,7.16203559494702,3.891968579350579,6.512434677942922,7.026211007275499,6.042782229860692
512,4,512,1.7984771480861426,1.8089145838461815,1.875574349602796,1.8345954701282174,1.6734441539781149,1.0211920375489743,2.7817559142565105,2.576541647398465,1.840733760181636,1.7996877241784335,1.5145088444359465,1.8067257097240181,1.8300391412775496,1.835086523163817,1.798393170017239,1.8530446785216026,1.825173540807399,2.1264965330679835,1.8202107421800346,1.717091231812505,1.1911664197626037
1024,8,1024,1.0529980927248739,0.9785251605380232,1.065398133481446,1.042858339956702,0.884530206623344,0.5989526554563782,1.3953068631948347,1.4444673370273657,1.1832408189138162,1.370560321647215,1.2953333508859155,1.0254463703819248,1.118854616533161,1.0407792821112178,1.0042540494920738,1.1001003732645527,1.030802176384056,1.1462422852261929,1.2769005702805156,1.1465447792670005,0.4834724534915984
2048,16,2048,1.8744609828131773,1.8804193436099919,1.9468173945213347,1.933183000146686,1.802308912811294,1.1140358765509952,2.5907405044743594,2.581755488475592,1.9164037472752184,1.9986521012704663,1.6292114758559684,1.849301022918804,1.9101984672325951,1.887041310629222,1.8605843047527346,1.9183409288892292,1.8970843894121912,2.0955106231669824,1.9575279242728425,1.7962369886691227,1.2747706458552146
4096,32,4096,0.9414789272765431,0.8881085645401771,0.9288547846212349,0.8997003321945242,0.7396351760578016,0.32264789943051136,0.5176668761931968,0.6132698584976124,1.1088983671865098,1.27377086601159,1.18915043357427,0.9407978181946294,0.9975401566335941,0.9411366592983366,0.9043894426482817,0.8804697441572543,0.9172781184298496,0.4845282113737735,1.19133461659905,1.0424961361341645,0.31084249280532417
8192,64,8192,0.8672798434981356,0.8397486216325966,0.8818566916472755,0.85285425228989,0.6651217491160201,0.2326280588978322,0.6182319873017458,0.6425421531114989,1.0032277693527578,1.0203209220059144,1.0589749730221216,0.9129330137038577,0.9268258080511217,0.883630868864159,0.843257578631463,0.8166289527417594,0.86143797609392,0.49780073310369227,1.0117743456793362,0.9662445982590336,0.23525842263811186
16384,128,16384,0.8920341971814686,0.8587089082208084,0.879528191022712,0.8593804425509322,0.7050694957914185,0.298270882249669,0.1864855929777666,0.2864724007402945,1.0628144862767888,1.141133202818786,1.175005859350699,0.9420284535658113,0.9619692800150134,0.9025357301449924,0.8678995373986402,0.8012891106870533,0.8766811677532589,0.25707629198924337,1.1019738445477874,1.0263345309771745,0.24966190574549682
32768,256,32768,0.9220905660172521,0.8790488968537371,0.90209193977178,0.8757213954849806,0.721230505728586,0.23651100978538275,0.3112041325373345,0.33023344053721715,1.1370281065336056,1.2555652773050243,1.1603925390640033,0.9300192791684904,0.9921074693517508,0.921570860696265,0.8888031494392297,0.8309079045516427,0.8982211347105409,0.29264952761997814,1.196296691919315,1.0275064291947482,0.27248786063187336
65536,512,65536,0.8505340311670704,0.8117388355283236,0.8564716747187365,0.8304420535831669,0.6456419535613123,0.1670103737021451,0.12853626933203302,0.208921891741109,0.9906703529189117,0.9085211887931921,1.0981970882212913,0.9123671971876425,0.9091432692480675,0.8676465110547458,0.8245794300281345,0.7340281413857255,0.8402354226800296,0.16815617825842902,0.9495957708560518,0.9732358515523338,0.18173581889734075
131072,1024,131072,0.8311573590599566,0.8060707592378633,0.8723531308925191,0.8543126141828656,0.641737762625776,0.13269385354954477,0.09881314181033674,0.17278366849349783,0.8068414411668701,0.6498919721820632,1.1245428837736038,0.9538217515194015,0.8824665553294099,0.9082809172515901,0.8275370635698983,0.7042203249763465,0.8499519740324488,0.1347635546177931,0.7283667066744666,0.9869437302074718,0.15192195328169872
262144,2048,262144,0.8054436717311372,0.7961089042357505,0.8682149293914391,0.8421422603781795,0.6031065574141589,0.10838876630227882,0.04757657634875928,0.11980326317348394,0.8438227427105924,0.3914339182955233,1.1253975947018937,0.9665206696175804,0.8588106184544908,0.8594979697290764,0.7908185091806906,0.6684724634443355,0.8270377074410455,0.09192286860817402,0.6176283305030579,0.9835762942579883,0.11728042774465698
524288,4096,524288,0.789597338263231,0.7818409239231322,0.8623057577030124,0.8382441201306222,0.5813758586638715,0.10258500243180223,0.06494317260203362,0.17760042418518404,0.7917323796485846,0.31076090615170543,1.121514249072506,0.9331591037312453,0.845229385935724,0.8573469850187608,0.7687993934521637,0.655135666727572,0.8163557530818203,0.11504286640633997,0.551246642900145,0.9666342462464917,0.1017505315300334
