family_preset,M,steps,total_series,A1_ar2_coeffs_easy,A2_ar2_coeffs_hard,B1_ar2_variance,B2_ar2_variance_big,C1_arma21_coeffs_var,D1_arima211,D2_arima221,D3_arima210,F1_seasonal_sarimax,F2_seasonal_exog,E1_drift_only,E2_level_shift,G1_exogenous_only,S1_sparse_switching,S2_frequent_switching,mean_all,mean_ar,mean_arima,mean_seasonal,mean_exog,mean_gap_vs_msar
ar_only,128,1,128,8.64949381592931,8.5974743397817,8.626724616601605,8.829041960063917,9.063133500587794,6.86943648375003,3.4663435011518176,3.7916335575457776,8.180582904219598,7.374519344073736,8.606184184671129,8.656678582246649,8.498406547202874,8.601840369080753,8.69343856028198,7.766995484479244,8.666335610289877,4.709137847482542,7.777551124146667,8.58708977137355,7.478643169938985
ar_only,256,2,256,7.031850198354236,6.954276242422136,6.945385950673185,7.100870864405981,7.362532995761829,6.26288925767475,3.2585926421510396,3.640352302542125,6.725025450499172,6.236048982081944,7.3597660407232866,7.000929398553338,6.909660608067035,6.954025794810003,7.041751212350139,6.452263862738012,7.004693377169279,4.387278067455972,6.480537216290558,7.090118682447887,6.084841493716292
ar_only,512,4,512,1.924749957930615,1.9402774974624204,1.9520045798034917,1.8801804807712583,1.7604218357008954,0.892083741406195,1.6331187347886222,1.8275379480719602,1.97067294943934,1.75780855973516,1.9971708937510684,2.1203730401202554,1.997390908175575,1.995701680959444,1.938407445451763,1.8391933502378708,1.9385536070631655,1.4509134747555923,1.8642407545872501,2.0383116140156328,1.2583712237063118
ar_only,1024,8,1024,1.3081859185399092,1.3028149049735867,1.3252014854569065,1.2796724588079573,1.1290991089857239,0.5101938284086239,0.6079699210832364,0.5395197102891807,1.3265778951497282,0.9540379733584717,1.5637765937900483,1.4857953153394912,1.3611722407918734,1.3587431370656162,1.3078349681898949,1.1573730306820167,1.313742145505645,0.552561153260347,1.1403079342541,1.4702480499738044,0.6010743680182811
ar_only,2048,16,2048,0.9908338135979339,1.0087390183902016,1.0571114488119404,1.0224657248213054,0.8399270135794903,0.46986199378870275,1.3423070240614763,1.2622569007233975,1.0351314516920427,0.7512217430796801,1.1535566019824561,1.1558857949888954,1.0525115469798212,1.0536715445710447,0.9943345191963955,1.0126544093509857,1.0211926782314702,1.0248086395245255,0.8931765973858614,1.120651314650391,0.3935660520937307
ar_only,4096,32,4096,1.0323958358985068,1.0245253348254801,1.0613626965861667,1.0378115579367424,0.9044927709538433,0.6317662149064681,0.5826905232899993,0.6668949228429066,1.077478337435637,0.7867062604126712,1.3366808161675936,1.1795970571249665,1.0843411999233386,1.0724300367009036,1.0307664046915619,0.967329331313119,1.0432153111065603,0.627117220346458,0.932092298924154,1.2002063577386328,0.39926178996540784
ar_only,8192,64,8192,0.8135760998243603,0.8196237162907222,0.866003070835396,0.8403178289026926,0.6271864151037151,0.2213428881051802,0.47792633684614194,0.47288732252180093,0.8909104373962912,0.5742155892535421,1.1090973651766622,0.979155185340057,0.8836802743878485,0.8672358649728299,0.8133313948373146,0.7504326526529703,0.8366813292772193,0.39071884915770766,0.7325630133249166,0.9906442749681892,0.17435564757552388
ar_only,16384,128,16384,0.9245557224308967,0.8692497067997828,0.9140150378995727,0.8803218258893812,0.7185249340951693,0.3564375409897221,0.5369609372524132,0.5815358172757839,1.1290623496087047,1.15203769467925,1.2027530377603217,0.952624698444373,0.9692565850620926,0.9289384800242887,0.8919623861944036,0.8672157836270772,0.9015071932063877,0.4916447651726397,1.1405500221439775,1.0415447737555958,0.2952636735901904
ar_only,32768,256,32768,0.7941178752255253,0.8009427956477871,0.8573356570302068,0.8318032080430982,0.6043639940749893,0.10576728118590799,0.23794139327993932,0.2600452895508996,0.9476196402218148,0.9173966049093836,1.1110240343103337,0.994604608002634,0.8854256045489848,0.8526217342036831,0.7986831242062976,0.733312856296099,0.8225840657260997,0.20125132133891563,0.9325081225655991,0.9970180822873175,0.17315479030503342
ar_only,65536,512,65536,0.8095596412727084,0.7805594390777003,0.8497914183466514,0.8279556234170443,0.6109803707728326,0.1817238840032188,0.24059633520652268,0.2830358912199666,1.03563736526422,1.28003298230483,1.0884757844678323,0.9526815056673893,0.9096866265566049,0.8698182226558652,0.7978355481155804,0.7678913758899312,0.8225866488142582,0.23511870347656938,1.157835173784525,0.9836146388972756,0.2100135654465262
ar_only,131072,1024,131072,0.8245789721374549,0.7922764920535084,0.8682185853109883,0.8539347042577453,0.6232977062206109,0.10002108536674405,0.1049087843269656,0.18763347253940796,1.015761549533711,0.547255272924923,1.1355054112256233,0.9427618882708417,0.9031841477283092,0.8885189549664715,0.8170359852550567,0.7069928674745575,0.8407606156635374,0.13085444741103922,0.7815084112293169,0.9938171490749248,0.15445713149287985
ar_only,262144,2048,262144,0.8161417124954555,0.7788390410140608,0.8450375501899526,0.8554853297695026,0.6165485584469695,0.09389398483205408,0.16329408771236872,0.19016152669494416,0.8533323509437235,0.6203024219379003,1.1581317990466502,0.9797948744602718,0.8968604988544783,0.8969714434507899,0.7864226448085695,0.7034145216438461,0.8298162869547218,0.14911653307978898,0.7368173864408119,1.0115957241204667,0.14645281071816035
ar_only,524288,4096,524288,0.7855319213446027,0.7723912672564722,0.844126946365653,0.8300268160148181,0.6226062872596881,0.07810142402932936,0.12017328910970097,0.16915495446037024,0.851318993605623,0.455116323567707,1.1191495468119166,0.9488356113299043,0.8605776527705218,0.873176523683825,0.7809389067269281,0.6740817642891372,0.8143653968987166,0.12247655586646684,0.653217658586665,0.9761876036374475,0.11810491345259153
full,128,1,128,8.83308173191133,8.789451549539377,8.800865372672847,8.953720904631437,9.141511940269211,6.895399854697377,3.562123897751564,3.6876629461167343,8.46249550527598,7.734570187848859,8.684332930687619,8.841209816250421,8.700420185285088,8.802365560293937,8.87091232646832,7.917341647313339,8.841732907586207,4.715062232855225,8.098532846562419,8.741987644074376,7.632886887504105
full,256,2,256,7.1310890960583935,7.117112006917204,7.150810568169536,7.278266024615512,7.3659058436873375,5.375276477887799,3.1809919241927482,3.1196373359711895,6.8322835928043375,6.192585763081506,6.88827182590948,7.160904942515299,7.029456253401719,7.128683672081874,7.166252201839598,6.407835168608902,7.16203559494702,3.891968579350579,6.512434677942922,7.026211007275499,6.042782229860692
full,512,4,512,1.7984771480861426,1.8089145838461815,1.875574349602796,1.8345954701282174,1.6734441539781149,1.0211920375489743,2.7817559142565105,2.576541647398465,1.840733760181636,1.7996877241784335,1.5145088444359465,1.8067257097240181,1.8300391412775496,1.835086523163817,1.798393170017239,1.8530446785216026,1.825173540807399,2.1264965330679835,1.8202107421800346,1.717091231812505,1.1911664197626037
full,1024,8,1024,1.0529980927248739,0.9785251605380232,1.065398133481446,1.042858339956702,0.884530206623344,0.5989526554563782,1.3953068631948347,1.4444673370273657,1.1832408189138162,1.370560321647215,1.2953333508859155,1.0254463703819248,1.118854616533161,1.0407792821112178,1.0042540494920738,1.1001003732645527,1.030802176384056,1.1462422852261929,1.2769005702805156,1.1465447792670005,0.4834724534915984
full,2048,16,2048,1.8744609828131773,1.8804193436099919,1.9468173945213347,1.933183000146686,1.802308912811294,1.1140358765509952,2.5907405044743594,2.581755488475592,1.9164037472752184,1.9986521012704663,1.6292114758559684,1.849301022918804,1.9101984672325951,1.887041310629222,1.8605843047527346,1.9183409288892292,1.8970843894121912,2.0955106231669824,1.9575279242728425,1.7962369886691227,1.2747706458552146
full,4096,32,4096,0.9414789272765431,0.8881085645401771,0.9288547846212349,0.8997003321945242,0.7396351760578016,0.32264789943051136,0.5176668761931968,0.6132698584976124,1.1088983671865098,1.27377086601159,1.18915043357427,0.9407978181946294,0.9975401566335941,0.9411366592983366,0.9043894426482817,0.8804697441572543,0.9172781184298496,0.4845282113737735,1.19133461659905,1.0424961361341645,0.31084249280532417
full,8192,64,8192,0.8672798434981356,0.8397486216325966,0.8818566916472755,0.85285425228989,0.6651217491160201,0.2326280588978322,0.6182319873017458,0.6425421531114989,1.0032277693527578,1.0203209220059144,1.0589749730221216,0.9129330137038577,0.9268258080511217,0.883630868864159,0.843257578631463,0.8166289527417594,0.86143797609392,0.49780073310369227,1.0117743456793362,0.9662445982590336,0.23525842263811186
full,16384,128,16384,0.8920341971814686,0.8587089082208084,0.879528191022712,0.8593804425509322,0.7050694957914185,0.298270882249669,0.1864855929777666,0.2864724007402945,1.0628144862767888,1.141133202818786,1.175005859350699,0.9420284535658113,0.9619692800150134,0.9025357301449924,0.8678995373986402,0.8012891106870533,0.8766811677532589,0.25707629198924337,1.1019738445477874,1.0263345309771745,0.24966190574549682
full,32768,256,32768,0.9220905660172521,0.8790488968537371,0.90209193977178,0.8757213954849806,0.721230505728586,0.23651100978538275,0.3112041325373345,0.33023344053721715,1.1370281065336056,1.2555652773050243,1.1603925390640033,0.9300192791684904,0.9921074693517508,0.921570860696265,0.8888031494392297,0.8309079045516427,0.8982211347105409,0.29264952761997814,1.196296691919315,1.0275064291947482,0.27248786063187336
