M,ood_rmse,noise_floor,ridge_rmse,ratio_to_noise,steps,d
4,3.3497061729431152,0.1,0.10954451150103323,33.49706172943115,50000,10
8,3.3501594066619873,0.1,0.10954451150103323,33.50159406661987,50000,10
16,3.3503177165985107,0.1,0.10954451150103323,33.50317716598511,50000,10
32,3.3492465019226074,0.1,0.10954451150103323,33.492465019226074,50000,10
64,3.3488097190856934,0.1,0.10954451150103323,33.488097190856934,50000,10
128,3.3498497009277344,0.1,0.10954451150103323,33.498497009277344,50000,10
256,3.349179744720459,0.1,0.10954451150103323,33.49179744720459,50000,10
512,3.3486616611480713,0.1,0.10954451150103323,33.48661661148071,50000,10
1024,3.3498928546905518,0.1,0.10954451150103323,33.49892854690552,50000,10
4096,3.34956693649292,0.1,0.10954451150103323,33.4956693649292,50000,10
16384,3.350146532058716,0.1,0.10954451150103323,33.50146532058716,50000,10
